term,score
child,0.10003214984710172
school,0.09740586880151438
student,0.09470213210910361
education,0.07299063797445453
teacher,0.06219464393025697
early,0.062127374495986355
learning,0.05750884126649395
teaching,0.050870586718139085
centre,0.04776399694375733
childhood,0.04453885493900188
educator,0.03855777236666944
program,0.0379460711585435
work,0.03637847592005646
university,0.03436481813523199
care,0.03294856424602421
position,0.031682931467730685
training,0.030449550567659134
children,0.03030962647123705
support,0.02980128307031372
research,0.027976928287323774
application,0.026601645809378793
quality,0.026560523016084334
experience,0.026477724834766132
community,0.02584696701089069
provide,0.025805129410157043
