topic,top_terms
0,"forklift, work, shift, warehouse, start, available, reliable, hour, driver, licence"
1,"work, experience, customer, service, team, skill, role, company, maintenance, require"
2,"property, office, work, role, team, dental, skill, experience, client, customer"
3,"sale, customer, team, work, store, service, business, opportunity, experience, role"
4,"project, construction, client, commercial, work, civil, design, firm, experience, role"
5,"food, restaurant, chef, kitchen, cook, hotel, cafe, weekend, barista, week"
6,"project, management, engineering, safety, risk, ensure, system, work, environmental, maintenance"
7,"experience, project, business, technology, design, work, solution, technical, software, team"
8,"mining, work, experience, licence, equipment, maintenance, trade, heavy, underground, plant"
9,"macleod, chandler, cabrini, p3recruitment, ablethorpe, goodline, unleash, inselec, brunel, audiology"
10,"business, role, financial, client, experience, management, work, team, marketing, skill"
11,"care, health, community, support, work, people, service, position, provide, clinical"
